목적지명,분류,지역,위도,경도,방문건수순위,구글지도평점,데이터랩점수,방문건수순위점수,최종점수
솥뚜껑매운탕,식당,공주,36.4792807,127.0472941,1,0.88,0.64,1.0,2.52
곰골식당,식당,공주,36.45184527360006,127.12054302648534,2,0.83,0.64,0.95,2.42
베이커리밤마을,식당,공주,36.464751787409085,127.12298546613316,3,0.85,0.64,0.89,2.38
공주쌍신집칼국수,식당,공주,36.48147015728446,127.1199634415898,4,0.87,0.64,0.84,2.35
피탕김탕,식당,공주,36.47797855792096,127.13903037884968,5,0.0,0.64,0.79,1.4300000000000002
전통궁중칼국수,식당,공주,36.4556619,127.1569367,6,0.78,0.64,0.74,2.16
동학사초가집,식당,공주,36.36399423817178,127.25801285979428,7,0.87,0.64,0.68,2.19
동해원/[중식],식당,공주,36.4502864672886,127.147922841465,8,0.78,0.0,0.63,1.41
홍기와쭈꾸미,식당,공주,36.3873776021891,127.255719374153,9,0.85,0.64,0.58,2.07
시장정육점식당,식당,공주,36.46587358178583,127.12226205673473,10,0.0,0.64,0.53,1.17
매향,식당,공주,36.4655850923676,127.12161594927552,11,0.0,0.64,0.47,1.11
부자떡집,식당,공주,36.458535386213,127.123841578067,12,0.82,0.64,0.42,1.88
신관짬뽕/[중식],식당,공주,36.47178415661446,127.13164327238088,13,0.82,0.0,0.37,1.19
우즈베이커리/공주점,식당,공주,36.45884073178,127.093677594251,14,0.87,0.0,0.32,1.19
유가네칼국수,식당,공주,36.44232460492715,127.12810284068756,15,0.0,0.64,0.26,0.9
고마나루1999,식당,공주,36.46495363265929,127.12272986830344,16,0.85,0.64,0.21,1.7
온천손칼국수,식당,공주,36.3867387903151,127.256441537948,17,0.83,0.64,0.16,1.63
춘산메밀꽃,식당,공주,36.426761769723,127.215944778131,18,0.0,0.64,0.11,0.75
롯데리아/공주신관점,식당,공주,36.47305190861661,127.14082979708331,19,0.82,0.0,0.05,0.87
청운식당/[중식],식당,공주,36.499069237309484,127.13935702413136,20,0.85,0.0,0.0,0.85
장원막국수,식당,부여,36.289136802505,126.90872330601528,1,0.87,0.64,1.0,2.51
시골통닭,식당,부여,36.28202002972837,126.91161387734525,2,0.0,0.64,0.95,1.59
백제해장국,식당,부여,36.3009687109232,126.894918877584,3,0.82,0.64,0.89,2.35
메밀꽃필무렵,식당,부여,36.29116006759556,126.922913646543,4,0.8,0.64,0.84,2.28
솔내음,식당,부여,36.28588717375132,126.90891776082378,5,0.85,0.64,0.79,2.28
서동한우/본점,식당,부여,36.283081974145,126.915444982045,6,0.8,0.0,0.74,1.54
연꽃이야기,식당,부여,36.268563,126.9065461,7,0.83,0.64,0.68,2.15
사비면옥,식당,부여,36.2756939129247,126.912973042496,8,0.88,0.64,0.63,2.15
하늘채황금수라/[한식],식당,부여,36.28025627364427,126.91825645664404,9,0.83,0.0,0.58,1.41
삼정식당,식당,부여,36.28333196862744,126.9195557254954,10,0.88,0.64,0.53,2.05
24시전주명가 콩나물국밥,식당,부여,36.2771381814153,126.910917657414,11,0.83,0.64,0.47,1.94
롯데리아/부여아울렛점,식당,부여,36.30693725654541,126.90229132695292,12,0.52,0.0,0.42,0.94
구드래돌쌈밥,식당,부여,36.2853316853433,126.909612148245,13,0.7,0.64,0.37,1.71
시골뚜부,식당,부여,36.3015433731007,126.89502331118632,14,0.85,0.64,0.32,1.81
백제궁수라간,식당,부여,36.306409508477856,126.91768023865144,15,0.8,0.64,0.26,1.7
사비향,식당,부여,36.272972001006,126.913028616258,16,0.0,0.64,0.21,0.85
왕곰탕,식당,부여,36.28241536371704,126.91191752361206,17,0.9,0.64,0.16,1.7
엄가네곰탕,식당,부여,36.28455399924709,126.91016766101828,18,0.8,0.64,0.11,1.55
연잎담,식당,부여,36.2748273,126.9012143,19,0.68,0.64,0.05,1.37
구드래한우타운,식당,부여,36.28488278946794,126.91003327797006,20,0.85,0.64,0.0,1.49
엔학고레,카페,공주,36.398098663302,127.26591281595,1,0.0,0.64,1.0,1.64
에어산,카페,공주,36.36604303233516,127.25159860943916,2,0.85,0.64,0.95,2.44
스타벅스/공주DT점,카페,공주,36.468201061595,127.142923126342,3,0.87,0.0,0.89,1.76
스타벅스/공주동학사DT점,카페,공주,36.36338032238289,127.25355311583138,4,0.87,0.0,0.84,1.71
춘소커피,카페,공주,36.48089621953135,127.12011883408672,5,0.83,0.64,0.79,2.26
숲너울,카페,공주,36.64599932570363,127.01283959258052,6,0.88,0.64,0.74,2.26
더크루즈,카페,공주,36.35941816292677,127.2465213715174,7,0.88,0.64,0.68,2.2
카페댕,카페,공주,36.430650144955,127.203945810434,8,0.92,0.64,0.63,2.19
프린세스피크닉카페,카페,공주,36.47657020080665,127.12431675779732,9,0.95,0.64,0.58,2.17
바이콩즈,카페,공주,36.365491208314,127.256136200697,10,0.97,0.64,0.53,2.1399999999999997
온더기와,카페,공주,36.340632872166,127.24672059348,11,0.9,0.64,0.47,2.01
롱디커피,카페,공주,36.444144367540346,127.1971569972306,12,0.83,0.64,0.42,1.89
카페유월,카페,공주,36.444148573741,127.198418403066,13,0.88,0.64,0.37,1.89
커피인터뷰/동학사점,카페,공주,36.38916772040514,127.25409046880924,14,0.88,0.0,0.32,1.2
은구비앤로스팅팩토리,카페,공주,36.437982425129,127.166837934881,15,0.9,0.64,0.26,1.8
스타벅스/공주신관점,카페,공주,36.47464475430437,127.1400622122898,16,0.85,0.0,0.21,1.06
후멜로,카페,공주,36.42286516255948,127.2141256994052,17,0.93,0.64,0.16,1.73
어썸845,카페,공주,36.35940849842903,127.24435952385772,18,0.87,0.64,0.11,1.62
카페운암,카페,공주,36.554218308988,127.020461049936,19,0.88,0.64,0.05,1.57
메가커피/공주대점,카페,공주,36.472303348687504,127.13756750881038,20,0.9,0.0,0.0,0.9
무드빌리지,카페,부여,36.2928562,126.9245167,1,0.85,0.64,1.0,2.49
높은댕이,카페,부여,36.31138452565372,126.95469124993244,2,0.87,0.64,0.95,2.46
메가커피/부여터미널점,카페,부여,36.281830760957135,126.9107430923911,3,0.85,0.0,0.89,1.74
투썸플레이스/부여궁남점,카페,부여,36.2727775658512,126.91072326732848,4,0.82,0.0,0.84,1.66
비비비,카페,부여,36.29531312091584,126.94529760862572,5,0.85,0.64,0.79,2.28
앳267,카페,부여,36.27236121796719,126.91077782986925,6,0.0,0.64,0.74,1.38
빽다방/충남부여점,카페,부여,36.28091524356349,126.91243816334878,7,0.88,0.0,0.68,1.56
수북로1945,카페,부여,36.272212596283424,126.88753515788056,8,0.92,0.64,0.63,2.19
루디꼬,카페,부여,36.28341772596741,126.92311957711684,9,0.85,0.64,0.58,2.07
합송리 994,카페,부여,36.26633350194996,126.84703454087108,10,0.17,0.64,0.53,1.34
코우코우,카페,부여,36.190175596133926,126.89480065849811,11,0.92,0.64,0.47,2.03
이디야커피/부여규암점,카페,부여,36.2702221694774,126.887030951207,12,0.17,0.0,0.42,0.59
이디야커피/부여중앙점,카페,부여,36.2834707927038,126.910778727008,13,0.78,0.0,0.37,1.15
바이아크,카페,부여,36.2729164389242,126.910723266148,14,0.93,0.64,0.32,1.89
그린메이트,카페,부여,36.2772593766591,126.91233883163414,15,0.97,0.64,0.26,1.87
금반향,카페,부여,36.282164289273,126.711463138392,16,0.9,0.64,0.21,1.75
백제향,카페,부여,36.27536061445235,126.91241753916772,17,0.88,0.64,0.16,1.68
설빙/충남부여점,카페,부여,36.28194000435259,126.91242578876592,18,0.17,0.0,0.11,0.28
율가가,카페,부여,36.285859399292,126.908945536368,19,0.8,0.0,0.05,0.8500000000000001
수월옥,카페,부여,36.2723608232733,126.888558575027,20,0.83,0.64,0.0,1.47
공산성,관광지,공주,36.4644791615807,127.12536916684,1,0.92,0.99,1.0,2.91
금강신관공원,관광지,공주,36.4675066270259,127.131035302021,2,0.87,0.93,0.95,2.75
대백제전/(공주),관광지,공주,36.46819791904981,127.12998399708503,3,0.0,0.0,0.89,0.89
무령왕릉,관광지,공주,36.46225712576811,127.11384243512126,4,0.87,0.91,0.84,2.62
미르섬,관광지,공주,36.4672010869032,127.127702268162,5,0.88,0.86,0.79,2.53
공주한옥마을,관광지,공주,36.4647290348646,127.108481779296,6,0.83,0.9,0.74,2.47
메타세콰이어길,관광지,공주,36.4931148405689,127.135145818046,7,0.88,0.82,0.68,2.38
공주무령왕릉과왕릉원,관광지,공주,36.46138343227811,127.112807485909,8,0.85,0.76,0.63,2.24
유구핑크뮬리정원,관광지,공주,36.549649,126.956107,9,0.97,0.37,0.58,1.92
연미산자연미술공원,관광지,공주,36.473561326382,127.102593336122,10,0.87,0.59,0.53,1.99
로보카폴리안전체험공원,관광지,공주,36.4944200368966,127.099065686688,11,1.0,0.77,0.47,2.24
공주산림휴양마을,관광지,공주,36.42328937341741,127.11831460575355,12,0.9,0.81,0.42,2.13
금강온천,관광지,공주,36.462979229148,127.1075652098133,13,0.85,0.72,0.37,1.94
아이러브팜핑,관광지,공주,36.64001461874503,127.11625728908,14,0.17,0.0,0.32,0.49
계룡산국립공원/동학사지구,관광지,공주,36.35688093842831,127.2324161632085,15,0.88,0.0,0.26,1.14
유구색동수국정원,관광지,공주,36.5554677860048,126.95438360013,16,0.85,0.92,0.21,1.98
계룡저수지,관광지,공주,36.35815811293434,127.1538675769242,17,0.88,0.44,0.16,1.48
공산성입구,관광지,공주,36.4650068694618,127.123702643839,18,0.68,0.01,0.11,0.8
노라쥬,관광지,공주,36.6400701906947,127.120118055141,19,0.88,0.53,0.05,1.4600000000000002
공주중동성당,관광지,공주,36.4547580602745,127.127452401413,20,0.92,0.46,0.0,1.38
궁남지,관광지,부여,36.26963904275301,126.91222316064965,2,0.92,1.0,0.95,2.87
대백제전/(부여),관광지,부여,36.30696414836373,126.90679512557182,3,0.0,0.0,0.89,0.89
부소산성,관광지,부여,36.28724816549565,126.91530607002784,4,0.9,0.94,0.84,2.6799999999999997
낙화암,관광지,부여,36.29249755094072,126.91233406738984,5,0.9,0.91,0.79,2.6
정림사지5층석탑,관광지,부여,36.27930461481729,126.91333409078736,6,0.92,0.92,0.74,2.58
정림사지,관광지,부여,36.27899909824307,126.91408402670416,7,0.92,0.89,0.68,2.49
사랑나무,관광지,부여,36.19759161871384,126.89964155499108,8,0.92,0.87,0.63,2.42
부여문화유산미디어아트,관광지,부여,36.284498464742,126.912806315736,9,0.85,0.6,0.58,2.03
칠지공원,관광지,부여,36.29027550746512,126.89900193868051,10,1.0,0.77,0.53,2.3
구드래조각공원,관광지,부여,36.2869981482423,126.90711235636886,11,0.88,0.63,0.47,1.98
서동요오픈세트장,관광지,부여,36.14484720175128,126.82367652048136,12,0.78,0.85,0.42,2.05
부여왕릉원,관광지,부여,36.2774297254593,126.94300230625488,13,0.85,0.8,0.37,2.02
백마강코스모스단지,관광지,부여,36.28429255875426,126.90170146057112,14,0.17,0.4,0.32,0.8900000000000001
만수산자연휴양림,관광지,부여,36.338046805569405,126.71135157347358,15,0.87,0.83,0.26,1.96
굿뜨래웰빙마을,관광지,부여,36.27555797173818,126.93054964700777,16,0.88,0.55,0.21,1.64
부여성흥산성,관광지,부여,36.1984248391032,126.89636406134,17,0.9,0.81,0.16,1.87
부여정림사지,관광지,부여,36.2797490081823,126.913250761082,18,0.92,0.49,0.11,1.5200000000000002
백마강테마파크전망대,관광지,부여,36.26898938240024,126.90117323680072,19,0.88,0.24,0.05,1.1700000000000002
서동공원,관광지,부여,36.2713888399188,126.911584313687,20,0.53,0.43,0.0,0.96
